,Tweets
68,"@david21873165 As highlighted in the tweet above, our support team has been engaged for further assistance. ^EVM"
69,"@MandeSimba Hi Buddie, may you kindly DM your mobile number and a brief outline of the SMSes you need deactivated s… https://t.co/WH5IChZr4x"
70,@_Vimzzzz @DrMartinStrange So sorry you might have gotten us wrong there. Our wish is for the issue to be resolved as soon as possible. ^EVM
71,@david21873165 2x$4 airtime purchases failed. The other 2 were successful. ^EVM
72,"@silasmparadza Hi Buddie, we are sorry you feel that way. May you kindly check your DM and respond for further assistance. ^EC"
73,"@Thando_Mbedzi @econetzimbabwe @EcoCashZW May you send us a DM with your number, meter number, amount and transaction date. ^EVM"
74,"@david21873165 You attempted to purchase airtime, but the airtime was not credited. We have engaged our support tea… https://t.co/4Ikn4gP7eU"
75,@simmz90 @econetzimbabwe We have refreshed your line. May you restart your phone and try again. ^EVM
76,@taqundamakuwaza Please check your DM. ^EVM
77,"@VimbaiSairon Hi Vimbai, we are sorry you feel this way. May you kindly check your DM for response and further assistance. ^EC"
78,@newzivumbwa @EcoCashZW kindly assist. ^EVM
79,@admiremutizwa We truly apologize for the experience Admire. Kindly note that we have engaged the relevant departme… https://t.co/UCTyqW2CAw
80,"@simmz90 @econetzimbabwe Hey there, kindly DM your number. ^EVM"
81,@PrivateDaniels @GregTheMarketer Please check your DM. ^EVM
82,@EcoCashZW @lodzac Zvakanakai @lodzac. tirikugadzirisa chirongwa ichi. ^EVM
83,"@admiremutizwa Hi Admire, thank you for getting in touch. We do value the feedback you provided and we have taken n… https://t.co/cUxyxEUk9B"
84,@Rambybaloyi @econetzimbabwe That is data accessed through websites and other apps that do not have specific data bundles. ^EVM
85,"@petsman12 Hey there, may you send us a DM with your number so we check and advise accordingly. ^EVM"
86,@naran_mlambo Zvakanakai. ^EVM
87,"@taqundamakuwaza Noted, please check your DM for our response. ^EVM"
88,"@hlanaic Hi Buddie, kindly check your DM for the response. ^EC"
89,@PrivateDaniels @GregTheMarketer Kindly check your DM. ^EVM
